Order,POSITION,SINGLE/AGG,Group ID,perimeter_num,col,PLUG,Family,Check,Genetic,Genetic2,Dam,Sire,Zoox,Time,Area,Perimeter,CrossSection,Bleach,Survival,Photo_tank_label,Treatment,Replicate2,Zoox_original,Labels,Checked,
1,edge flat,,,1,A1_1.1,A1,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.459,2.459,0.757,2,1,HotA,32C,1,D1,,,
2,edge flat,,,2,A2_1.2,A2,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.153,3.914,1.453,2,1,HotA,32C,1,D1,,,
3,edge flat,,,112,A3_1.112,A3,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.159,1.45,0.485,2,1,HotA,32C,1,D1,,,
4,edge flat,,,113,A3_2.113,A3,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.914,3.455,1.055,2,1,HotA,32C,1,D1,,,
5,center,,,114,A3_3.114,A3,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.387,4.211,1.25,2,1,HotA,32C,1,D1,,,
6,edge flat,,,3,A4_1.3,A4,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.253,4.174,1.355,3,1,HotA,32C,1,D1,,,
7,center,,,115,A6_1.115,A6,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,1.557,4.459,1.358,2,1,HotA,32C,1,C1,,,
8,center,,,116,A6_2.116,A6,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,2.188,5.335,1.745,2,1,HotA,32C,1,C1,,,
9,NA,,,117,A6_3.117,A6,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,NA,NA,NA,NA,NA,HotA,32C,1,C1,,,
10,edge side,,,4,B1_1.4,B1,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.023,4.057,1.406,3,1,HotA,32C,1,D1,,,
11,edge side,,,5,B1_2.5,B1,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.746,3.786,1.355,3,1,HotA,32C,1,D1,,,
12,center,,,6,B2_1.6,B2,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.399,2.326,0.679,2,1,HotA,32C,1,D1,,,
13,edge side,,,7,B3_1.7,B3,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.689,4.765,1.508,2,1,HotA,32C,1,D1,,,
14,edge side,,,8,B4_1.8,B4,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.77,3.754,1.267,1,1,HotA,32C,1,D1,,,
15,edge side,,,9,B5_1.9,B5,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.953,3.889,1.337,3,1,HotA,32C,1,D1,,,
16,edge side,,,10,B5_2.10,B5,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,1.126,4.068,1.434,3,1,HotA,32C,1,D1,,,
17,center,,,11,B5_3.11,B5,F6,F6,HH,Purehot,Tijou1,Tijou2A,D1,T1,0.715,3.088,1.029,3,1,HotA,32C,1,D1,,,
18,center,,,118,B8_1.118,B8,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,1.978,5.033,1.53,2,1,HotA,32C,1,C1,,,
19,edge side,,,12,B9_1.12,B9,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,0.248,2.068,0.748,2,1,HotA,32C,1,C1,,,
20,edge side,,,13,B9_2.13,B9,F6,F6,HH,Purehot,Tijou1,Tijou2A,C1,T1,1.108,4.671,1.695,2,1,HotA,32C,1,C1,,,
21,center,,,119,C3_1.119,C3,F7,F7,HH,Purehot,,,C1,T1,0.93,3.504,1.176,2,1,HotA,32C,1,C1,,,
22,center,,,120,C3_2.120,C3,F7,F7,HH,Purehot,,,C1,T1,1.259,4.04,1.273,2,1,HotA,32C,1,C1,,,
23,center,,,121,C3_3.121,C3,F7,F7,HH,Purehot,,,C1,T1,0.255,1.838,0.599,2,1,HotA,32C,1,C1,,,
24,center,,,122,C3_4.122,C3,F7,F7,HH,Purehot,,,C1,T1,0.458,2.463,0.807,2,1,HotA,32C,1,C1,,,
25,center,,,14,C5_1.14,C5,F7,F7,HH,Purehot,,,C1,T1,1.284,4.347,1.388,2,1,HotA,32C,1,C1,,,
26,edge side,,,15,C5_2.15,C5,F7,F7,HH,Purehot,,,C1,T1,1.852,5.226,1.518,2,1,HotA,32C,1,C1,,,
27,NA,,,16,C5_3.16,C5,F7,F7,HH,Purehot,,,C1,T1,NA,NA,NA,NA,NA,HotA,32C,1,C1,,,
28,NA,,,17,C5_4.17,C5,F7,F7,HH,Purehot,,,C1,T1,NA,NA,NA,NA,NA,HotA,32C,1,C1,,,
29,edge side,,,123,C6_1.123,C6,F7,F7,HH,Purehot,,,A3,T1,0.414,2.665,0.92,1,1,HotA,32C,1,A3,,,
30,edge flat,,,18,C10_1.18,C10,F7,F7,HH,Purehot,,,D1,T1,1.383,4.245,1.381,2,1,HotA,32C,1,D1,,,
31,edge side,,,19,C11_1.19,C11,F7,F7,HH,Purehot,,,D1,T1,0.487,2.8,0.874,1,1,HotA,32C,1,D1,,,
32,edge side,,,20,C13_1.20,C13,F7,F7,HH,Purehot,,,D1,T1,0.772,3.385,1.295,3,1,HotA,32C,1,D1,,,
33,edge side,,,21,D7_1.21,D7,F7,F7,HH,Purehot,,,A3,T1,0.62,2.902,0.97,3,1,HotA,32C,1,A3,,,
34,edge flat,,,22,D11_1.22,D11,F7,F7,HH,Purehot,,,D1,T1,1.256,4.016,1.275,2,1,HotA,32C,1,D1,,,
35,edge flat,,,124,E7_1.124,E7,F10,F10,CH,Mix,,,A3,T1,2.379,5.532,1.768,3,1,HotA,32C,1,A3,,,
36,edge side,,,23,E8_1.23,E8,F10,F10,CH,Mix,,,A3,T1,0.531,2.66,0.911,1,1,HotA,32C,1,A3,,,
37,edge side,,,24,E9_1.24,E9,F10,F10,CH,Mix,,,A3,T1,1.229,4.381,1.665,3,1,HotA,32C,1,A3,,,
38,edge flat,,,25,G1_1.25,G1,F11,F11,HH,Purehot,,,D1,T1,1.523,4.554,1.39,3,1,HotA,32C,1,D1,,,
39,edge side,,,26,G1_2.26,G1,F11,F11,HH,Purehot,,,D1,T1,0.537,2.649,0.78,3,1,HotA,32C,1,D1,,,
40,edge side,,,27,G1_3.27,G1,F11,F11,HH,Purehot,,,D1,T1,0.867,3.604,1.127,3,1,HotA,32C,1,D1,,,
41,edge flat,,,28,G2_1.28,G2,F11,F11,HH,Purehot,,,D1,T1,0.904,3.443,1.025,3,1,HotA,32C,1,D1,,,
42,edge flat,,,29,G2_2.29,G2,F11,F11,HH,Purehot,,,D1,T1,0.544,2.714,0.737,2,1,HotA,32C,1,D1,,,
43,edge side,,,30,G2_3.30,G2,F11,F11,HH,Purehot,,,D1,T1,0.41,2.365,0.74,2,1,HotA,32C,1,D1,,,
44,center,,,125,G3_1.125,G3,F11,F11,HH,Purehot,,,D1,T1,1.344,4.231,1.421,3,1,HotA,32C,1,D1,,,
45,center,,,31,G14_1.31,G14,F11,F11,HH,Purehot,,,C1,T1,1.196,3.917,1.27,3,1,HotA,32C,1,C1,,,
46,center,,,32,G14_2.32,G14,F11,F11,HH,Purehot,,,C1,T1,0.659,2.954,0.877,3,1,HotA,32C,1,C1,,,
47,center,,,33,G14_3.33,G14,F11,F11,HH,Purehot,,,C1,T1,1.507,4.552,1.585,3,1,HotA,32C,1,C1,,,
48,edge side,,,34,G14_4.34,G14,F11,F11,HH,Purehot,,,C1,T1,0.727,3.317,1.195,3,1,HotA,32C,1,C1,,,
49,center,,,35,G15_1.35,G15,F11,F11,HH,Purehot,,,C1,T1,1.84,4.929,1.551,3,1,HotA,32C,1,C1,,,
50,edge side,,,36,H2_1.36,H2,F11,F11,HH,Purehot,,,D1,T1,0.441,2.475,0.921,2,1,HotA,32C,1,D1,,,
